source,nation,title
https://fairytalez.com/the-beginning-of-the-armadillos/,english,The Beginning of the Armadillos
https://fairytalez.com/prometheus-making-man/,greek,Prometheus and the Making of Man
https://fairytalez.com/the-snowman/,nordic,The Snowman
https://fairytalez.com/ra%e1%b9%87avirasi%e1%b9%85g/,indian,Raṇavîrasiṅg
https://fairytalez.com/the-biter-bit/,german,The Biter Bit
https://fairytalez.com/the-elf-of-the-rose/,nordic,The Elf of the Rose
https://fairytalez.com/brother-giovanne/,italian,Brother Giovanne
https://fairytalez.com/the-butterfly/,danish,The Butterfly
https://fairytalez.com/the-child-who-came-from-an-egg/,estonian,The Child Who Came from an Egg
https://fairytalez.com/thor-and-hymer/,nordic,Thor and Hymer
https://fairytalez.com/the-affair-of-the-hippopotamus-and-the-tortoise-or-why-the-hippopotamus-lives-in-the-water/,nigerian,"The Affair of the Hippopotamus and the Tortoise; or, Why the Hippopotamus lives in the Water"
https://fairytalez.com/the-war-of-the-wolf-and-the-fox/,german,The War of the Wolf and the Fox
https://fairytalez.com/why-spuyten-duyvil-is-so-named/,north_american_native,Why Spuyten Duyvil is so Named
https://fairytalez.com/story-rags-habakuk-two-blue-rats-circus-man-came-spot-cash-money/,north_american_native,"The Story of Rags Habakuk, the Two Blue Rats, and the Circus Man Who Came with Spot Cash Money"
https://fairytalez.com/monday-tuesday/,irish,Monday! Tuesday!
https://fairytalez.com/why-the-kingfisher-always-wears-a-war-bonnet/,north_american_native,Why the Kingfisher Always Wears a War-Bonnet
https://fairytalez.com/the-strong-prince/,hungarian,The Strong Prince
https://fairytalez.com/bunny-cottontail-and-the-crane/,north_american_native,Bunny Cottontail and the Crane
https://fairytalez.com/the-child-in-the-grave/,nordic,The Child in the Grave
https://fairytalez.com/how-googler-and-gaggler-the-two-christmas-babies-came-home-with-monkey-wrenches/,north_american_native,"How Googler and Gaggler, the Two Christmas Babies, Came Home with Monkey Wrenches"
https://fairytalez.com/old-jackal-and-young-baboon/,south_african,Old Jackal and Young Baboon
https://fairytalez.com/snowflake/,slavic,Snowflake
https://fairytalez.com/the-coyote-and-the-blackbirds/,north_american_native,The Coyote and the Blackbirds
https://fairytalez.com/the-prince-and-the-fakir/,indian,The Prince and the Fakir
https://fairytalez.com/the-rich-brother-and-the-poor-brother/,portuguese,The Rich Brother and the Poor Brother
https://fairytalez.com/raven-and-the-geese/,north_american_native,Raven and the Geese
https://fairytalez.com/the-satin-surgeon/,french,The Satin Surgeon
https://fairytalez.com/speckled-hen-got-speckles/,brazilian,How the Speckled Hen Got Her Speckles
https://fairytalez.com/what-the-goodman-does-is-always-right/,nordic,What the Goodman Does is Always Right
https://fairytalez.com/the-brahma%e1%b9%87-priest-who-became-an-amildar/,indian,The Brâhmaṇ Priest who became an Amildâr
https://fairytalez.com/story-jason-squiff-popcorn-hat-popcorn-mittens-popcorn-shoes/,north_american_native,"The Story of Jason Squiff and Why He Had a Popcorn Hat, Popcorn Mittens and Popcorn Shoes"
https://fairytalez.com/the-enchanted-watch/,french,The Enchanted Watch
https://fairytalez.com/the-tongue-cut-sparrow/,japanese,The Tongue-Cut Sparrow
https://fairytalez.com/piggiebillah-the-porcupine/,australian_ethnic,Piggiebillah the Porcupine
https://fairytalez.com/the-nightingale-and-the-rose/,irish,Nightingale and the Rose
https://fairytalez.com/elves-antics/,dutch,The Elves and Their Antics
https://fairytalez.com/oni-travels/,dutch,The Oni on His Travels
https://fairytalez.com/lu-san-daughter-heaven/,chinese,"Lu-San, Daughter of Heaven"
https://www.worldoftales.com/African_folktales/African_Folktale_40.html#gsc.tab=0,tanzanian,The Hare and the Lion
https://fairytalez.com/nixs-mate/,north_american_native,Nix's Mate
https://fairytalez.com/the-belly-and-the-members/,greek,The Belly and the Members
https://fairytalez.com/the-enchanted-doe/,italian,The Enchanted Doe
https://fairytalez.com/soup-from-sausage-skewer/,danish,Soup from Sausage Skewer
https://fairytalez.com/whittington-and-his-cat/,english,Whittington and His Cat
https://fairytalez.com/berkshire-tories/,north_american_native,Berkshire Tories
https://fairytalez.com/the-mallet/,japanese,The Mallet
https://fairytalez.com/the-great-carbuncle/,north_american_native,The Great Carbuncle
https://fairytalez.com/the-werewolf/,swedish,The Werewolf
https://fairytalez.com/elder-tree-mother/,scandinavian,Elder-tree Mother
https://fairytalez.com/cenerentola/,italian,Cenerentola
https://fairytalez.com/spirit-buried-man/,polish,The Spirit of a Buried Man
https://fairytalez.com/darning-needle/,nordic,The Darning-Needle
https://fairytalez.com/the-necklace-of-pearls/,portuguese,The Necklace of Pearls
https://fairytalez.com/the-white-deer-at-onota/,north_american_native,The White Deer at Onota
https://fairytalez.com/horse-gullfaxi-sword-gunnfoder/,icelandic,The Horse Gullfaxi and the Sword Gunnfoder
https://fairytalez.com/king-robin/,portuguese,King Robin
https://fairytalez.com/why-the-big-ball-game-between-hot-grounders-and-the-grand-standers-was-a-hot-game/,north_american_native,Why the Big Ball Game Between Hot Grounders and the Grand Standers Was a Hot Game
https://fairytalez.com/the-demons-dance/,polish,The Demon's Dance
https://fairytalez.com/the-gardener-and-the-manor/,scandinavian,The Gardener and the Manor
https://fairytalez.com/10079-2/,russian,The Good Children
https://fairytalez.com/jack-comrades/,celtic,Jack and His Comrades
https://fairytalez.com/long-time/,french,Long Time
https://fairytalez.com/the-pine-gum-baby/,north_american_native,The Pine-Gum Baby
https://fairytalez.com/the-ass-the-table-and-the-stick/,english,"The Ass, the Table and the Stick"
https://fairytalez.com/woods-woodman/,french,The Woods and the Woodman
https://fairytalez.com/adventures-wolf-marked/,north_american_native,The Adventures of Wolf-Marked
https://fairytalez.com/flies-honey-pot/,greek,The Flies and the Honey-Pot
https://fairytalez.com/the-three-dogs-2/,swedish,The Three Dogs
https://fairytalez.com/the-shepherd/,italian,The Shepherd
https://fairytalez.com/the-legend-of-thorgunna/,scandinavian,The Legend of Thorgunna
https://fairytalez.com/king-huai-nan/,chinese,The King of Huai Nan
https://fairytalez.com/the-snoring-of-swunkus/,north_american_native,The Snoring of Swunkus
https://fairytalez.com/deh-a/,north_american_native,Deh-A
https://fairytalez.com/the-six-swans/,german,The Six Swans
https://fairytalez.com/the-goose-with-the-golden-eggs/,greek,The Goose with the Golden Eggs
https://fairytalez.com/thun-tsay-and-cohn-nah/,north_american_native,Thun-Tsay and Cohn-Nah
https://fairytalez.com/the-brownie-or-house-spirit/,czechoslovak,"The Brownie, or House Spirit"
https://fairytalez.com/the-three-goldenhairs-of-grandfather-allknow/,czechoslovak,The Three Goldenhairs of Grandfather Allknow
https://fairytalez.com/chocorua/,north_american_native,Chocorua
https://fairytalez.com/brock-brought-judgment-loki/,nordic,How Brock Brought Judgment on Loki
https://fairytalez.com/the-story-of-judas/,italian,The Story of Judas
https://fairytalez.com/ship-wrecked-man-sea/,greek,The Ship-Wrecked Man and the Sea
https://fairytalez.com/the-frog-and-lion-fairy/,french,The Frog and Lion Fairy
https://fairytalez.com/the-bear-and-the-travelers/,greek,The Bear and the Travelers
https://fairytalez.com/laotsze/,chinese,Laotsze
https://fairytalez.com/gold-tree-silver-tree/,celtic,Gold-tree and Silver-tree
https://fairytalez.com/the-butcher-and-his-customers/,greek,The Butcher and His Customers
https://fairytalez.com/three-boys-jugs-molasses-secret-ambitions/,north_american_native,Three Boys With Jugs of Molasses and Secret Ambitions
https://fairytalez.com/the-great-sea-serpent/,nordic,The Great Sea Serpent
https://fairytalez.com/the-hawk-and-the-hen/,philippine,The Hawk and the Hen
https://fairytalez.com/the-sparrow-and-the-two-children/,armenian,The Sparrow and the Two Children
https://fairytalez.com/wolf-lean-dog/,french,The Wolf and the Lean Dog
https://fairytalez.com/the-spirit-of-the-steppes/,slavic,The Spirit of the Steppes
https://fairytalez.com/the-building-of-the-asgard-fort/,nordic,The Building of the Asgard Fort
https://fairytalez.com/geha-friend-deserted-boy/,north_american_native,"Géha, The Friend of a Deserted Boy"
https://fairytalez.com/the-three-fools/,english,The Three Fools
https://fairytalez.com/the-boy-and-the-filberts-2/,greek,The Boy and the Filberts
https://fairytalez.com/hina-the-woman-in-the-moon/,hawaiian,"Hina, the Woman in the Moon"
https://fairytalez.com/the-lion-and-the-statue/,greek,The Lion and the Statue
https://fairytalez.com/the-farmer-and-the-money-lender-2/,indian,The Farmer and the Money-Lender
https://fairytalez.com/old-woman-wine-jar/,greek,The Old Woman and the Wine Jar
https://fairytalez.com/what-happened-to-the-thistle/,scandinavian,What Happened to the Thistle
https://fairytalez.com/anne-lisbeth/,danish,Anne Lisbeth
https://fairytalez.com/clever-elsie/,german,Clever Elsie
https://fairytalez.com/the-lady-of-the-fountain/,celtic,The Lady of the Fountain
https://fairytalez.com/legend-terrestrial-paradise-sheddad-son-ad/,arabic,"The Legend of the Terrestrial Paradise of Sheddád, the Son of 'A'd"
https://fairytalez.com/the-wise-servant/,german,The Wise Servant
https://fairytalez.com/the-fox-without-a-tail/,greek,The Fox Without a Tail
https://fairytalez.com/the-mermaid-of-the-magdalenes/,north_american_native,The Mermaid of the Magdalenes
https://fairytalez.com/whirlwind-and-panther/,north_american_native,Whirlwind and Panther
https://fairytalez.com/the-hart-in-the-ox-stall/,greek,The Hart in the Ox-Stall
https://fairytalez.com/the-little-omelet/,italian,The Little Omelet
https://fairytalez.com/conal-yellowclaw/,celtic,Conal Yellowclaw
https://fairytalez.com/white-corn-and-her-sons-fire/,north_american_native,White Corn and Her Sons Fire
https://fairytalez.com/how-geirald-the-coward-was-punished/,icelandic,How Geirald the Coward Was Punished
https://fairytalez.com/the-red-slipper/,jewish,The Red Slipper
https://fairytalez.com/the-pea-blossom/,scandinavian,The Pea Blossom
https://fairytalez.com/mansumandig/,philippine,Mansumandig
https://fairytalez.com/the-fox-and-the-crows/,north_american_native,The Fox and the Crows
https://fairytalez.com/the-girl-who-pretended-to-be-a-boy/,romanian,The Girl Who Pretended to Be a Boy
https://fairytalez.com/how-perseus-slew-the-gorgon/,greek,How Perseus Slew the Gorgon
https://fairytalez.com/the-white-cat/,french,The White Cat
https://fairytalez.com/the-hut-in-the-forest-2/,russian,The Hut in the Forest
http://www.albanianliterature.net/folktales/tale_06.html,albanian,The Shoes
https://fairytalez.com/the-stranger-child/,german,The Stranger-Child
https://fairytalez.com/10279-2/,nordic,The Death of Sigurd
https://fairytalez.com/the-witch-cat/,scottish,The Witch-Cat
https://fairytalez.com/black-bull-of-norroway-2/,scottish,Black Bull of Norroway
https://fairytalez.com/the-wolf-and-the-seven-little-kids/,german,The Wolf and the Seven Little Kids
https://fairytalez.com/a-chapter-of-fish/,russian,A Chapter of Fish
https://fairytalez.com/the-wonderful-ring/,indian,The Wonderful Ring
https://fairytalez.com/the-thrush-and-the-fowler/,greek,The Thrush and the Fowler
https://fairytalez.com/belling-the-cat/,greek,Belling the Cat
https://fairytalez.com/karma/,japanese,Karma
https://fairytalez.com/flame-scalps-of-the-chartiers/,north_american_native,Flame Scalps of the Chartiers
https://fairytalez.com/dollar-watch-five-jack-rabbits/,north_american_native,The Dollar Watch and the Five Jack Rabbits
https://fairytalez.com/odin-faces-an-evil-man/,nordic,Odin Faces an Evil Man
https://fairytalez.com/queen-heaven/,chinese,The Queen of Heaven
https://fairytalez.com/the-cloud/,italian,The Cloud
https://fairytalez.com/the-wicked-prince/,danish,The Wicked Prince
https://fairytalez.com/yang-yang-and-hoo-hoo-or-the-song-of-the-left-foot-of-the-shadow-of-the-goose-in-oklahoma/,north_american_native,"Yang Yang and Hoo Hoo, or the Song of the Left Foot of the Shadow of the Goose in Oklahoma"
https://fairytalez.com/dove-ant/,french,The Dove and the Ant
https://fairytalez.com/fundevogel/,german,Fundevogel
https://fairytalez.com/the-faithful-prince/,indian,The Faithful Prince
https://fairytalez.com/the-black-thief-and-knight-of-the-glen/,celtic,The Black Thief and Knight of the Glen
https://fairytalez.com/the-story-of-prince-ahmed-and-the-fairy-paribanou/,arabic,The Story of Prince Ahmed and the Fairy Paribanou
https://fairytalez.com/the-man-and-the-serpent/,greek,The Man and the Serpent
https://fairytalez.com/boy-called-thick-head/,north_american_native,The Boy Who Was Called Thick-Head
https://fairytalez.com/the-golden-ball/,english,The Golden Ball
https://fairytalez.com/the-language-of-the-birds/,russian,The Language of the Birds
https://fairytalez.com/the-pied-piper/,english,The Pied Piper
https://fairytalez.com/fir-tree-bramble/,greek,The Fir-tree and the Bramble
https://fairytalez.com/the-hammer-of-thor/,scandinavian,The Hammer of Thor
https://fairytalez.com/ellens-luck/,welsh,Ellen's Luck
https://fairytalez.com/the-mount-of-the-golden-queen/,swedish,The Mount of the Golden Queen
https://fairytalez.com/batcha-dragon-story-shepherd-slept-winter/,czechoslovak,Batcha and the Dragon: The Story of a Shepherd Who Slept All Winter
https://fairytalez.com/the-fisherman-of-shetland/,scottish,The Fisherman of Shetland
https://fairytalez.com/the-castle-of-life/,italian,The Castle of Life
https://fairytalez.com/fox-turkeys/,french,The Fox and the Turkeys
https://fairytalez.com/the-twins/,armenian,The Twins
https://fairytalez.com/the-shepherdess-and-the-chimney-sweep/,danish,The Shepherdess and the Chimney Sweep
https://fairytalez.com/the-drummer/,german,The Drummer
https://fairytalez.com/the-bee-keeper/,greek,The Bee-Keeper
https://fairytalez.com/rainbow-autumn-leaves/,north_american_native,Rainbow and the Autumn Leaves
https://fairytalez.com/the-blinded-giant/,english,The Blinded Giant
https://fairytalez.com/the-eagle-and-the-arrow/,greek,The Eagle and the Arrow
https://fairytalez.com/why-the-chipmunks-back-is-striped/,north_american_native,Why the Chipmunk's Back is Striped
https://fairytalez.com/youth-without-age-life-without-death/,romanian,Youth Without Age and Life Without Death
https://fairytalez.com/the-fawn-and-his-mother/,greek,The Fawn and His Mother
https://fairytalez.com/the-mistaken-gifts/,philippine,The Mistaken Gifts
https://fairytalez.com/mr-coyote-and-the-two-pretty-girls/,north_american_native,Mr. Coyote and the Two Pretty Girls
https://fairytalez.com/soria-moria-castle/,norwegian,Soria Moria Castle
https://fairytalez.com/owl-great-head-eyes/,canadian_native,Owl with the Great Head and Eyes
https://fairytalez.com/the-golden-spinning-wheel-the-story-of-king-dobromil-and-the-good-dobrunka/,czechoslovak,The Golden Spinning-Wheel: The Story of King Dobromil and the Good Dobrunka
https://fairytalez.com/the-new-haven-storm-ship/,north_american_native,The New Haven Storm Ship
https://fairytalez.com/rubezahl/,german,Rubezahl
https://fairytalez.com/the-two-caskets/,scandinavian,The Two Caskets
https://fairytalez.com/the-charger-and-the-miller/,greek,The Charger and the Miller
https://fairytalez.com/the-fair-fiorita/,italian,The Fair Fiorita
https://fairytalez.com/the-treasure/,italian,The Treasure
https://fairytalez.com/the-woman-the-ape-and-the-child/,nigerian,"The Woman, the Ape, and the Child"
https://fairytalez.com/the-envious-coyote/,north_american_native,The Envious Coyote
https://fairytalez.com/the-goloshes-of-fortune/,nordic,The Goloshes of Fortune
https://fairytalez.com/the-three-little-pigs-andrew-lang-version/,english,The Three Little Pigs (Andrew Lang Version)
https://fairytalez.com/the-gray-champion/,north_american_native,The Gray Champion
https://fairytalez.com/cunning-fox/,french,The Cunning Fox
https://fairytalez.com/fairies-diamonds-and-toads/,french,The Fairies (also known as Diamonds and Toads)
https://fairytalez.com/the-goose-girl/,german,The Goose-Girl
https://fairytalez.com/the-adventures-of-john-dietrich/,scandinavian,The Adventures of John Dietrich
https://fairytalez.com/the-wonderful-mango-fruit/,indian,The Wonderful Mango Fruit
https://fairytalez.com/the-golden-key/,german,The Golden Key
https://fairytalez.com/the-children-of-loki/,nordic,The Children of Loki
https://fairytalez.com/ass-dressed-lions-skin/,french,The Ass Dressed in Lion's Skin
https://fairytalez.com/the-betrothed-of-destiny/,armenian,The Betrothed of Destiny
https://fairytalez.com/the-bones-of-djulung/,english,The Bones of Djulung
https://fairytalez.com/the-nightingale/,danish,The Nightingale
https://fairytalez.com/nennillo-and-nennella/,italian,Nennillo and Nennella
https://fairytalez.com/the-rose/,german,The Rose
https://fairytalez.com/the-eagle-and-the-jackdaw/,greek,The Eagle and the Jackdaw
https://fairytalez.com/binnorie/,english,Binnorie
https://fairytalez.com/why-the-night-hawks-wings-are-beautiful/,north_american_native,Why the Night Hawk's Wings are Beautiful
https://fairytalez.com/the-tsar-and-the-angel/,ukrainian,The Tsar and the Angel
https://fairytalez.com/jack-wonderful-hen/,north_american_native,Jack and His Wonderful Hen
https://fairytalez.com/the-goose-girl-2/,german,The Goose Girl
https://fairytalez.com/the-sparrow-and-the-crow/,indian,The Sparrow and the Crow
https://fairytalez.com/ole-luk-oie-dream-god/,danish,"Ole-Luk-Oie, the dream god"
https://fairytalez.com/the-monkey-and-the-dolphin/,greek,The Monkey and the Dolphin
https://fairytalez.com/the-blue-bird-2/,french,The Blue Bird
https://fairytalez.com/story-of-little-simpleton/,russian,Story of Little Simpleton
https://fairytalez.com/the-escape-of-the-mouse/,celtic,The Escape of the Mouse
https://fairytalez.com/night-came/,brazilian,How Night Came
https://fairytalez.com/the-four-clever-brothers/,german,The Four Clever Brothers
https://fairytalez.com/the-unmannerly-tiger/,korean,The Unmannerly Tiger
http://www.albanianliterature.net/folktales/tale_12.html,albanian,The Bear and the Dervish
https://fairytalez.com/the-marvellous-musician/,german,The Marvellous Musician
https://fairytalez.com/the-fish-peri/,turkish,The Fish-Peri
https://fairytalez.com/the-hound-and-the-hare/,greek,The Hound and the Hare
https://fairytalez.com/there-is-a-difference/,danish,There is a Difference
https://fairytalez.com/the-raspberry-worm/,finnish,The Raspberry Worm
https://fairytalez.com/the-poisoned-food/,indian,The Poisoned Food
https://fairytalez.com/brother-and-sister/,german,Brother and Sister
https://fairytalez.com/the-golden-fish/,russian,The Golden Fish
https://fairytalez.com/the-magic-ring/,english,The Magic Ring
https://fairytalez.com/the-child-of-thunder/,japanese,The Child of Thunder
https://fairytalez.com/the-wise-judgment/,czechoslovak,The Wise Judgment
https://fairytalez.com/the-cruel-tribute/,greek,The Cruel Tribute
https://fairytalez.com/the-tiger-the-brahman-and-the-jackal/,indian,"The Tiger, the Brahman and the Jackal"
https://fairytalez.com/the-fenris-wolf/,nordic,The Fenris-Wolf
https://fairytalez.com/poker-face-baboon-hot-dog-tiger/,north_american_native,Poker Face the Baboon and Hot Dog the Tiger
https://fairytalez.com/nickermans-wife-story-lidushka-imprisoned-doves/,czechoslovak,The Nickerman's Wife: The Story of Lidushka and the Imprisoned Doves
https://fairytalez.com/the-thunder-boy/,north_american_native,The Thunder Boy
https://fairytalez.com/yallery-brown/,english,Yallery Brown
https://fairytalez.com/clever-hans/,german,Clever Hans
https://fairytalez.com/ole-the-tower-keeper/,nordic,Ole the Tower-Keeper
https://fairytalez.com/the-wicked-wood-fays/,czechoslovak,The Wicked Wood-Fays
https://fairytalez.com/why-a-hawk-kills-chickens/,nigerian,Why a Hawk Kills Chickens
https://fairytalez.com/how-the-tortoise-overcame-the-elephant-and-the-hippopotamus/,nigerian,How the Tortoise Overcame the Elephant and the Hippopotamus
https://fairytalez.com/deereeree-wagtail-rainbow/,australian_ethnic,"Deereeree the Wagtail, and the Rainbow"
https://fairytalez.com/the-story-of-the-beginning/,nordic,The Story of the Beginning
https://fairytalez.com/great-heart-three-tests/,north_american_native,Great Heart and the Three Tests
https://fairytalez.com/the-good-ferryman-and-the-water-nymphs/,polish,The Good Ferryman and the Water Nymphs
https://fairytalez.com/the-quack-doctor/,greek,The Quack Doctor
https://fairytalez.com/rattle-rattle-rattle-and-chink-chink-chink-the-story-of-long-beard-the-dwarf-and-the-two-sisters/,czechoslovak,"Rattle-Rattle-Rattle and Chink-Chink-Chink: The Story of Long Beard, the Dwarf, and the Two Sisters"
https://fairytalez.com/pigling-and-her-proud-sister/,korean,Pigling and Her Proud Sister
https://fairytalez.com/lazy-harry/,german,Lazy Harry
https://fairytalez.com/what-the-moon-saw/,scandinavian,What the Moon Saw
https://fairytalez.com/snow-queen/,scandinavian,The Snow Queen
https://fairytalez.com/punchkin/,indian,Punchkin
https://fairytalez.com/the-story-of-appayya/,indian,The Story of Appayya
https://fairytalez.com/retaliation/,indian,Retaliation
https://fairytalez.com/the-flood/,greek,The Flood
https://fairytalez.com/ohnivak/,slavic,Ohnivak
https://fairytalez.com/the-wolf-and-the-kid/,greek,The Wolf and the Kid
https://fairytalez.com/head-tail-serpent/,french,The Head and the Tail of the Serpent
https://fairytalez.com/frogs-complaint-sun/,greek,The Frogs’ Complaint Against the Sun
https://fairytalez.com/spiders-creation/,north_american_native,Spider's Creation
https://fairytalez.com/the-goblin-of-adachigahara/,japanese,The Goblin of Adachigahara
https://fairytalez.com/wirreenun-the-rainmaker/,australian_ethnic,Wirreenun the Rainmaker
https://fairytalez.com/princess-kwan-yin/,chinese,The Princess Kwan-Yin
https://fairytalez.com/ermine-hunter/,canadian_native,Ermine and the Hunter
https://fairytalez.com/donkey-cabbages/,german,Donkey Cabbages
https://fairytalez.com/master-cat-puss-boots/,french,"The Master Cat, or Puss in Boots"
https://fairytalez.com/wheat-worked-woe/,dutch,When Wheat Worked Woe
https://fairytalez.com/the-dracae/,scottish,The Dracae
https://fairytalez.com/the-boy-and-the-filberts/,greek,The Boy and the Filberts
https://fairytalez.com/the-golden-goose-2/,german,The Golden Goose
https://fairytalez.com/the-story-of-benito/,philippine,The Story of Benito
https://fairytalez.com/goldfinch-got-colours/,belgian,How the Goldfinch Got His Colours
https://fairytalez.com/the-enchanted-snake/,italian,The Enchanted Snake
https://fairytalez.com/the-red-etin/,english,The Red Etin
https://fairytalez.com/oraggio-and-bianchinetta/,italian,Oraggio and Bianchinetta
https://fairytalez.com/dapplegrim/,norwegian,Dapplegrim
https://fairytalez.com/sunshine-stories/,nordic,Sunshine Stories
https://fairytalez.com/the-peacock-and-the-crane/,greek,The Peacock and the Crane
